name,Location,Number of reviewers,Overall score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,WiFi,Indoor Pool,Spa,Baggage Storage,Free WiFi,Airport Shuttle,Air Conditioning,Airport Shuttle (free),BBQ Facilities,Pet Friendly,On-site Parking,Elevator,Free Parking,Daily Housekeeping,Room Service,24-Hour Front Desk,exceptional Fitness Center,Outdoor Pool,excellent Fitness Center,Non-smoking Rooms,Restaurant,Family Rooms,wonderful Fitness Center,Garden,good Spa & Wellness Center,Swimming Pool,Designated Smoking Area,Facilities for Disabled Guests,Private Parking,good Fitness Center,Fitness Center,Parking,Laundry,Heating,very good Fitness Center,Bar,Terrace
Beautiful Manhattan Apartment,10128,15,7.7,7.7,7.2,7.5,8.8,6.8,8.3,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
MOXY NYC Times Square,10018,"2,668",8.4,8.8,8,8.2,8.6,7.7,8.6,9.3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Wingate by Wyndham Manhattan Midtown,10001,"1,457",7.6,7.4,7.5,7.1,7.4,7.1,6.9,8.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
The Gatsby Hotel,10002,91,7.7,7.9,7.2,7,8.5,7.1,7.5,8.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Midtown West 2 Bedroom Apartment,10018,41,8.5,8.8,8.8,8.6,8.4,7.9,8.9,8.7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
TS 2 Bed Lux Highrise Super Loft,10036,0,0,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
Tribeca Lofts,10013,34,8.1,8.5,8.1,7.4,7.9,7.6,7.5,9.2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Upper East Side, 2 Bedroom, Close to Everything, Central Park, Metro, 5th ave, Museums",10021,0,0,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hotel Central Fifth Avenue,10036,"1,845",7.6,7.7,7.1,6.8,7.7,7.1,8.6,9.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
HGU New York,10016,"1,620",8.6,9,8.5,8.2,8.8,8,9.2,9.1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Candlewood Suites NYC -Times Square,10018,"2,341",8.1,7.7,8.1,7.9,8.2,7.6,8.6,8.9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
La Quinta Inn & Suites New York City Central Park,10023,"2,998",7.5,7.7,6.7,6.9,8.2,6.9,8.3,8.8,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hotel Lucerne,10024,"2,024",8.5,8.9,8.4,8.1,8.5,7.8,8.8,9.1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Fairfield Inn & Suites by Marriott New York Manhattan/Fifth Avenue,10018,"1,404",8.4,8.5,8,7.9,8.8,7.8,8.8,9.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Great Renovated Apartments Best Location Manhattan,10010,29,8.4,7.7,8.1,7.8,8.5,8.5,7.5,9.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apartment in East Side,10016,0,0,,,,,,,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Modern Apartments next to Times Square,10018,52,8.2,7.9,7.8,7.4,8.2,7.8,10,9.8,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lux 2 bedroom by Wall street,10038,0,0,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Times Square HighLine Two Bedroom,10036,15,9.2,8.8,8.8,8.7,10,9.1,9.8,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Allen Hotel,10002,551,8.6,9,8.4,8.3,8.9,8.2,9.1,8.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Midtown Lodging,10022,637,8.4,8.3,8.1,8.2,9,8.1,9.3,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TS 2 Bed Lux Highrise Suite,10036,0,0,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
Heart of Midtown,10022,19,8.6,8.6,8.2,8.4,9,8.3,8.8,9.4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heritage Hotel New York City,10010,"3,312",7.2,7.2,6.7,6.5,7.5,6.7,7.6,8.6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Sanctuary NYC Retreats,10002,403,8.8,8.8,8.9,8.7,9,8.6,8.5,8.5,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Washington Jefferson at Times Square,10019,"1,307",7.7,7.9,6.9,6.8,8.5,6.8,7.6,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Four Points by Sheraton Manhattan Midtown West,10001,952,8.4,9,8.5,8.3,8.5,7.9,8.7,8.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Midtown East Spacious Apartment,10022,53,6.5,5.8,5.8,5.8,6.4,6.3,9,8.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AKA Sutton Place,10022,102,9.1,9.2,9.2,9.1,9.6,8.5,8.3,9.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
John Street Apartment,10038,6,8.6,8.3,9.2,8.8,7.9,7.9,9.6,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
East Village Convenient Apartment,10009,0,0,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Athenas Domus CS 6E,10011,13,9.5,10,9.6,9.6,9.2,9.1,10,9.4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holiday Inn Express - Times Square,10018,"2,414",7.8,7.9,7.5,7.3,8.2,7.2,8.4,8.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
TS 2 Bed Lux Highrise Suite,10036,0,0,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
The Whitby Hotel,10019,193,9.5,9.9,9.8,9.6,9.6,8.6,9.5,9.6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Studios Midtown Manhattan,10001,325,8.5,8.6,7.8,8.1,9.1,8.1,9.3,9.4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cassa Hotel Times Square,10018,"3,897",8.1,8.1,8.1,7.7,8.9,7.4,8.7,8.4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Midtown East Deluxe 2 Bedroom Apartment,10022,21,7.5,7.8,7.8,7,7.3,6.6,7.5,8.7,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
