name,Location,Number of reviewers,Overall score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,WiFi,Indoor Pool,Spa,Baggage Storage,Free WiFi,Airport Shuttle,Air Conditioning,Airport Shuttle (free),BBQ Facilities,Pet Friendly,On-site Parking,Elevator,Free Parking,Daily Housekeeping,Room Service,24-Hour Front Desk,exceptional Fitness Center,Outdoor Pool,excellent Fitness Center,Non-smoking Rooms,Restaurant,Family Rooms,wonderful Fitness Center,Garden,good Spa & Wellness Center,Swimming Pool,Designated Smoking Area,Facilities for Disabled Guests,Private Parking,good Fitness Center,Fitness Center,Parking,Laundry,Heating,very good Fitness Center,Bar,Terrace
Private Room in Time Square,10036,68,9.0,8.8,8.2,8.6,9.6,8.8,9.6,9.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
NOVO417-2B,10022,0,0,,,,,,,,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
World Center Hotel,10006,"2,755",8.6,8.8,8.6,8.5,8.6,8.1,9,9.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
The Hotel @ New York City,10016,"3,846",7.5,7.7,7.6,7,7.3,7.3,6.9,8.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
EVEN Hotel New York - Midtown East 44th,10017,"1,654",8.7,9,8.7,8.4,8.7,8.1,8.9,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
The Standard - East Village,10003,703,8.8,9.1,8.8,8.5,8.9,7.9,8.8,9.3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Andaz 5th Avenue-a concept by Hyatt,10017,685,8.7,8.8,8.9,8.5,8.6,7.8,9.3,9.4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Hyatt Herald Square New York / 5th Avenue,10001,"1,649",8.2,8.5,8,7.8,8.6,7.5,8.2,8.9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
AKA Central Park,10019,866,8.5,8.3,8.6,8.2,8.7,7.6,9.3,9.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Fairfield Inn by Marriott New York Manhattan/Financial District,10038,"2,932",8.2,8.7,8,7.9,8.9,7.6,8.8,8.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
Executive Hotel Le Soleil New York,10018,"2,781",8.5,8.8,8.5,8.2,8.7,7.8,8.8,9.3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Best Western Premier Herald Square,10018,"1,339",8.5,8.9,8.2,8.2,8.7,8,8.8,9.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"The Langham, New York, Fifth Avenue",10018,"1,146",9.2,9.5,9.4,9,9.5,8.3,9.3,9.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"Club Quarters Hotel, Grand Central",10017,"1,185",8.7,8.9,8.6,8.5,8.7,8.1,9,9.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
AKA Wall Street,10038,744,9.3,9.4,9.4,9.2,9.4,8.7,9.4,9.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
Hyatt Place New York/Midtown-South,10018,"3,473",8.6,8.6,8.5,8.2,8.8,7.9,8.8,9.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Freehand New York,10010,530,8.8,9.1,8.6,8.6,8.9,8,8.9,9.3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Hyatt House New York/Chelsea,10001,"1,727",8.8,8.9,8.9,8.7,8.8,8.2,9,9.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
The Jewel Facing Rockefeller Center,10019,"1,130",8.6,8.8,8.3,8.3,8.9,8,9.3,9.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Four Points by Sheraton Midtown - Times Square,10018,"3,324",8.4,8.6,8.2,7.9,8.7,7.8,9,8.9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
InterContinental New York Times Square,10036,"3,207",8.0,8.2,8.3,7.8,7.7,7.1,7.6,8.9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
"The Bernic Hotel New York City,Tapestry Collection by Hilton",10017,"1,782",8.7,9,8.6,8.3,9.1,8,8.1,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Times Square Lux Highrise,10036,103,7.0,7,7.1,7.1,6.7,6.3,8.8,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Crowne Plaza Times Square,10019,"7,342",8.2,8.3,8.3,7.9,8.1,7.2,8.4,9.3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Homewood Suites Midtown Manhattan Times Square South,10018,"1,944",8.9,9,8.9,8.8,9,8.3,8.6,9.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Four Seasons Hotel New York Downtown,10007,249,9.4,9.8,9.8,9.6,9.6,8.6,9,9.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
DoubleTree by Hilton NYC - Financial District,10004,"3,991",7.9,8,7.9,7.4,8.1,7.4,8.5,8.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Nolitan Hotel SoHo - New York,10012,882,8.7,9.1,8.6,8.3,9.1,7.8,8.4,9.3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Walker Hotel Greenwich Village,10011,"1,037",8.4,8.7,8.1,8,8.8,7.4,8.8,9.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Millennium Broadway Times Square,10036,"3,520",7.8,7.6,7.7,7.3,7.9,7,7.9,9.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Four Points by Sheraton Manhattan Chelsea,10001,"1,429",8.1,8.3,7.9,7.7,8.7,7.6,8.4,8.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
La Quinta Inn & Suites Manhattan,10001,"6,413",8.0,8.3,7.8,7.5,7.9,7.5,8.6,8.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Cambria Hotel New York - Times Square,10036,"3,905",8.8,9.1,8.7,8.5,8.6,8.2,9.1,9.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Ace Hotel New York,10001,"1,621",8.4,8.6,8.1,8.2,8.6,7.5,9,9.1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"The Beekman, a Thompson Hotel",10038,"1,932",9.3,9.6,9.4,9.3,9.5,8.7,9.4,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Radio City Apartments,10019,"4,024",8.5,8.5,8.2,8.1,8.5,8.2,9,9.6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MADE Hotel,10001,"1,178",9.1,9.4,9,8.9,9.4,8.5,9.6,9.4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Archer Hotel New York,10018,"1,183",8.9,9.3,8.7,8.7,9.3,8,9.2,9.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Loews Regency New York Hotel,10065,455,8.8,9.1,9,8.6,8.8,7.9,8.9,9.4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
IBEROSTAR 70 Park Avenue Hotel,10016,"2,007",8.3,8.3,8.3,7.7,8.6,7.8,8.9,9.2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Hyatt Centric Times Square New York,10036,"4,291",8.7,9.1,9,8.6,8.5,7.8,9.1,9.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
Holiday Inn Manhattan Financial District,10006,"1,684",8.1,8.4,8.1,7.7,8.3,7.5,8.9,8.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
AKA Times Square,10036,800,8.8,8.8,8.9,8.5,9.2,7.9,9,9.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Club Quarters Hotel World Trade Center,10006,"1,500",8.6,8.8,8.5,8.5,8.6,8.1,9,9.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Staybridge Suites - Times Square - New York City,10018,"2,689",8.2,8.1,8.1,7.9,8.5,7.6,8,8.8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Fairfield Inn & Suites By Marriott New York Manhattan/Times Square,10018,"4,705",8.3,8.6,8.2,8,8.5,7.7,9.1,8.9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Holiday Inn Express - Times Square South,10018,"2,915",8.3,8.4,8.1,7.9,8.4,7.7,8.1,9.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Hilton Garden Inn New York Times Square South,10018,844,8.7,9,8.8,8.5,8.7,8.2,8.3,8.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Wellington Hotel,10019,"7,298",7.7,7.8,7.5,6.9,7.6,7.2,4.2,9.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Solita Soho Hotel,10013,670,7.7,7.8,7.3,7,8.3,7.4,8.6,8.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Solita Soho Hotel,10013,670,7.7,7.8,7.3,7,8.3,7.4,8.6,8.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Global Luxury Suites at The Pearl,10065,0,0,,,,,,,,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Harlem: Renovated Apartments,10039,0,0,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hilton Times Square,10036,"1,957",8.5,8.7,8.7,8.3,8.3,7.7,5.9,9.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
The Watson Hotel,10019,"8,643",7.8,7.8,7.7,7.4,7.8,7.5,7.7,8.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Club Quarters Hotel Midtown - Times Square,10036,"1,192",8.1,8.1,7.7,7.7,8.4,7.4,9,9.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Apartments Upper West Side,10025,0,0,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Courtyard New York Manhattan/Times Square,10018,"1,306",8.4,8.5,8.4,8,8.5,7.6,8.8,9.4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
New York Marriott Marquis,10036,"3,403",8.2,8.3,8.3,8,8.1,7,4.6,9.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Doubletree By Hilton New York Times Square West,10018,"3,364",8.0,8.3,7.8,7.7,8.3,7.5,8,8.6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Club Quarters Hotel Wall Street,10005,"2,471",8.2,8.4,8,7.9,8.5,7.6,9,8.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Residence Inn by Marriott New York Downtown Manhattan/World Trade Center Area,10007,"1,393",8.8,8.9,8.9,8.7,8.9,8.1,8.8,9.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Sohotel,10013,"2,125",8.3,8.6,7.9,7.7,8.8,7.6,8.3,8.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Four Points by Sheraton Manhattan SoHo Village,10014,"1,374",8.1,8.2,7.9,7.5,8.7,7.6,8.7,8.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Novotel New York Times Square,10019,"3,541",8.5,8.8,8.7,8.3,8.2,7.6,8.4,9.4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Hotel Indigo Lower East Side,10002,"1,033",8.6,9.1,8.9,8.6,8.6,7.7,8.8,8.9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
Warwick New York,10019,"4,008",8.4,8.6,8.5,8,8.3,7.6,8.2,9.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Lombardy Hotel,10022,964,8.5,8.7,8.6,8.1,8.4,7.9,8.8,9.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
U Hotel Fifth Avenue,0016 ,"2,041",8.1,8.5,7.4,7.2,8.5,7.5,7.5,9.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
Trump International New York,10023,781,8.8,9.2,9,8.6,8.9,7.8,9.1,9.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
Hotel Belleclaire,10024,"2,893",7.8,8,7.5,7.2,8.4,7.2,7.5,8.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Hampton Inn Manhattan Grand Central,10017,"2,852",8.7,8.9,8.4,8.3,9.1,8.2,8.4,9.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Sofitel New York,10036,"1,356",8.5,8.8,8.7,8.3,8.7,7.5,8,9.3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Sixty LES,10002,846,8.2,8.4,8.2,8,8.6,7.2,7.7,8.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
Grand Hyatt New York,10017,"4,621",7.8,7.7,7.8,7.5,7.8,6.9,8.1,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Hilton Garden Inn Times Square,10019,"1,927",8.3,8.5,8.4,7.8,8.2,7.6,8.4,9.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Fairfield Inn & Suites by Marriott New York Downtown Manhattan/World Trade Center Area,10006,621,8.8,8.9,8.7,8.5,9.1,8.4,8.9,9.2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
SIXTY SoHo,10012,859,8.6,9.1,8.7,8.4,8.6,7.6,8.2,9.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
The Frederick Hotel,10007,"1,578",8.3,8.9,8,7.7,8.6,7.8,8,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
2 Bedroom Apt in Manhattan by tripintravel,10002,0,0,,,,,,,,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
East Village Hotel,10003,908,8.0,7.8,7.8,7.6,8.1,7.7,9.1,9,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hilton Garden Inn Times Square Central,10036,"1,451",8.3,8.5,8.3,8,8.1,7.6,8.6,9.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Courtyard by Marriott New York Downtown Manhattan/World Trade Center Area,10006,"1,726",8.6,9.1,8.7,8.3,8.4,8,8.7,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
Arlo SoHo,10013,"3,946",8.7,9.3,8.4,8.7,9,8,9.2,8.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Courtyard by Marriott New York Manhattan/Chelsea,10001,970,8.5,8.9,8.5,8.2,8.4,7.8,8.7,9.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
"Hotel Shocard, New York",10036,"1,860",8.3,8.6,7.7,7.8,8.9,7.7,9,9.4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"Hampton Inn Manhattan-SoHo, NY",10013,"2,454",7.9,8,7.8,7.6,8.1,7.5,8.3,8.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
Element Times Square West,10018,"8,112",8.0,7.8,7.9,7.6,8.1,7.5,8.7,8.9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Hilton Garden Inn New York Manhattan Midtown East,10022,928,8.4,8.7,8.4,8.1,8.7,7.9,8.3,8.8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Hampton Inn Manhattan-Times Square North,10019,"1,671",8.2,8.2,8.2,7.9,8.3,7.7,8.1,9.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Fairfield Inn & Suites by Marriott New York Manhattan/Chelsea,10001,"1,079",8.1,8.2,7.7,7.8,8.7,7.5,8.2,8.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
Hampton Inn Manhattan - Times Square South,10018,"1,089",8.2,8.4,8,7.9,8.5,7.6,8.2,8.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Westin New York at Times Square,10036,"1,308",8.0,8.2,8.3,7.9,7.8,7.1,6.5,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
The Mercer,10012,274,8.9,9.4,9,8.7,9.1,7.8,9.1,9.6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Crowne Plaza HY36 Midtown Manhattan,10018,341,8.7,9.2,8.9,8.6,8.9,7.9,8.7,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Hyatt Union Square New York,10003,548,8.7,9,8.7,8.5,9,7.6,8.6,9.2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Mondrian Park Avenue,10016,266,8.8,9.2,8.9,8.5,9.1,8.2,9.1,9.1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Sheraton New York Times Square Hotel,0019 ,"1,876",7.6,7.8,7.6,7.3,7.5,6.6,5.1,8.9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Hampton Inn Manhattan-35th Street/Empire State Building,10001,"1,767",8.6,8.6,8.4,8.1,8.9,8,8.2,9.4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Holiday Inn Manhattan 6th Ave - Chelsea,10001,"2,200",7.6,7.8,7.3,7.1,8.1,7.1,7.9,8.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Hampton Inn Manhattan/Downtown- Financial District,10004,705,8.3,8.7,8.2,8,8.5,7.8,7.9,8.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Hotel Edison Times Square,10036,"13,158",7.5,7.7,7.2,6.8,7.7,6.8,4.9,9.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Carvi Hotel New York,10022,976,8.4,8.7,8.2,7.8,8.8,7.9,8.9,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Cambria Hotel New York - Chelsea,10001,"1,830",8.8,8.7,8.8,8.5,9.2,8.3,9.2,9.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Days Inn by Wyndham Hotel New York City-Broadway,10025,"5,592",6.8,6.6,6.5,6.1,7.3,6.3,6.7,7.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Residence Inn by Marriott New York Manhattan/Central Park,10019,"1,932",8.3,8.2,8.5,8.2,8.1,7.5,8.7,9.3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Hotel Hugo,10013,984,8.2,8.5,8.1,8,8.4,7.5,7.4,8.4,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
NoMo SoHo,10013,"1,886",8.3,8.8,8.4,8,7.9,7.4,8.6,9.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
